instance,orig_m,orig_n,red_m,red_n,m_red_pct,n_red_pct,method,strategy,lb_type,cost,time,nodes,status,error
scp41.txt,200,1000,85,425,57.49999999999999,57.49999999999999,greedy,N/A,N/A,242.0,0.0672905445098877,1,success,
scp41.txt,200,1000,85,425,57.49999999999999,57.49999999999999,bb,dfs,sum_degree,217.0,266.38374757766724,208401,success,
scp41.txt,200,1000,85,425,57.49999999999999,57.49999999999999,bb,best_first,sum_degree,242.0,140.95796155929565,14511,success,
scp41.txt,200,1000,85,425,57.49999999999999,57.49999999999999,bb,dfs,packing,221.0,10800.032735586166,31362482,timeout,
scp41.txt,200,1000,85,425,57.49999999999999,57.49999999999999,bb,best_first,packing,242.0,92.2903950214386,11298,success,
scp41.txt,200,1000,85,425,57.49999999999999,57.49999999999999,bb,dfs,both,217.0,421.4243769645691,208397,success,
scp41.txt,200,1000,85,425,57.49999999999999,57.49999999999999,bb,best_first,both,242.0,231.45576119422913,14513,success,
scp51.txt,200,2000,85,850,57.49999999999999,57.49999999999999,greedy,N/A,N/A,139.0,0.07444572448730469,1,success,
scp51.txt,200,2000,85,850,57.49999999999999,57.49999999999999,bb,dfs,sum_degree,130.0,10800.079049825668,6048670,timeout,
scp51.txt,200,2000,85,850,57.49999999999999,57.49999999999999,bb,best_first,sum_degree,139.0,309.0000944137573,6523,success,
scp51.txt,200,2000,85,850,57.49999999999999,57.49999999999999,bb,dfs,packing,137.0,10800.14198255539,16204048,timeout,
scp51.txt,200,2000,85,850,57.49999999999999,57.49999999999999,bb,best_first,packing,139.0,144.53069281578064,4398,success,
scp51.txt,200,2000,85,850,57.49999999999999,57.49999999999999,bb,dfs,both,130.0,10800.145741462708,4027331,timeout,
scp51.txt,200,2000,85,850,57.49999999999999,57.49999999999999,bb,best_first,both,139.0,465.78073263168335,6523,success,
scp61.txt,200,1000,70,350,65.0,65.0,greedy,N/A,N/A,90.0,0.01875782012939453,1,success,
scp61.txt,200,1000,70,350,65.0,65.0,bb,dfs,sum_degree,75.0,1167.2422747612,828357,success,
scp61.txt,200,1000,70,350,65.0,65.0,bb,best_first,sum_degree,90.0,182.23846077919006,6504,success,
scp61.txt,200,1000,70,350,65.0,65.0,bb,dfs,packing,78.0,10800.021492958069,29347840,timeout,
scp61.txt,200,1000,70,350,65.0,65.0,bb,best_first,packing,90.0,81.63786339759827,4361,success,
scp61.txt,200,1000,70,350,65.0,65.0,bb,dfs,both,75.0,1772.9622724056244,828263,success,
scp61.txt,200,1000,70,350,65.0,65.0,bb,best_first,both,90.0,259.64380860328674,6504,success,
